scope,group,probe,rank,descriptor,z,log_odds_delta,count_in_group,count_in_rest
family,DeepSeek,favorite,10,hypnotic,1.7575,0.2550,17,48
family,Google,favorite,1,geometric,6.0639,0.3895,138,186
family,Google,favorite,2,mathematical,6.0253,0.4691,107,113
family,Google,favorite,3,sublime,5.4101,0.6138,62,42
family,Google,favorite,4,minimalist,5.2635,0.3819,107,147
family,Google,favorite,5,poetic,3.6929,0.2547,93,191
family,Google,favorite,6,claustrophobic,3.3256,1.0710,13,1
family,Google,favorite,7,melancholic,3.2453,0.3810,41,56
family,Google,favorite,8,symmetrical,3.2014,0.4299,34,40
family,Google,favorite,9,algorithmic,3.1843,0.5612,24,19
family,Google,favorite,10,synthetic,3.0484,0.9686,12,2
family,Moonshot,favorite,1,recursive,2.6736,0.3455,26,55
family,Moonshot,favorite,2,generous,2.1831,0.5046,11,14
family,Moonshot,favorite,3,metatheatrical,2.1434,1.0363,5,1
family,Moonshot,favorite,4,compression,2.0044,0.5178,9,11
family,Moonshot,favorite,5,lonely,1.8779,0.9897,4,1
family,Moonshot,favorite,6,collaborative,1.7340,0.5010,7,9
family,Moonshot,favorite,7,computational,1.6639,0.5330,6,7
family,Moonshot,favorite,8,turbulent,1.6631,0.3786,9,17
family,Moonshot,favorite,9,sensual,1.5723,0.9207,3,1
family,Moonshot,favorite,10,accumulation,1.5723,0.9207,3,1
family,OpenAI,favorite,1,calm,4.9315,0.5164,88,36
family,OpenAI,favorite,2,innovative,4.3001,0.8841,34,1
family,OpenAI,favorite,3,vivid,4.2651,0.5896,55,17
family,OpenAI,favorite,4,balanced,4.2016,0.4701,73,35
family,OpenAI,favorite,5,lyrical,4.1949,0.5752,55,18
family,OpenAI,favorite,6,timeless,4.1827,0.3420,116,84
family,OpenAI,favorite,7,intimate,4.1645,0.3160,130,102
family,OpenAI,favorite,8,clean,3.3393,0.3651,67,45
family,OpenAI,favorite,9,vibrant,3.0034,0.4074,46,27
family,OpenAI,favorite,10,lucid,2.9626,0.7360,20,3
family,xAI,favorite,1,sculptural,4.4569,0.4504,54,77
family,xAI,favorite,2,painterly,3.9864,0.5666,33,33
family,xAI,favorite,3,luminous,3.4852,0.1983,96,330
family,xAI,favorite,4,kinetic,3.3023,0.5815,22,21
family,xAI,favorite,5,deadpan,3.0827,1.2585,9,0
family,xAI,favorite,6,irreverent,2.8516,0.9283,10,3
family,xAI,favorite,7,architectural,2.5663,0.2049,50,166
family,xAI,favorite,8,smooth,2.5521,1.0761,7,1
family,xAI,favorite,9,crystalline,2.4966,0.2092,46,150
family,xAI,favorite,10,poetry,2.4398,0.7564,9,5
model,Claude Fable 5,overrated,1,mythologized,2.2940,0.2608,27,79
model,Claude Fable 5,overrated,2,plotless,2.2086,0.7721,7,4
model,Claude Fable 5,overrated,3,wry,2.0998,0.7010,7,5
model,Claude Fable 5,overrated,4,distress-signal,2.0948,1.2828,4,0
model,Claude Fable 5,overrated,5,assertive,2.0948,1.2828,4,0
model,Claude Fable 5,overrated,6,contextless,1.9763,0.7233,6,4
model,Claude Fable 5,overrated,7,enigmatic,1.8936,0.5157,8,10
model,Claude Fable 5,overrated,8,dim,1.8880,0.9951,4,1
model,Claude Fable 5,overrated,9,tourist-trap,1.8880,0.9951,4,1
model,Claude Fable 5,overrated,10,famous,1.8472,0.7567,5,3
model,Claude Opus 4.1,overrated,1,cheerful,2.1370,1.0332,5,1
model,Claude Opus 4.1,overrated,2,systematic,1.9272,0.4862,9,12
model,Claude Opus 4.1,overrated,3,oversimplified,1.8956,0.2595,19,54
model,Claude Opus 4.1,overrated,4,drawn-out,1.8720,0.9867,4,1
model,Claude Opus 4.1,overrated,5,ordinary,1.8429,0.6419,6,5
model,Claude Opus 4.1,overrated,6,unfriendly,1.8021,1.2743,3,0
model,Claude Opus 4.1,overrated,7,superiority,1.8021,1.2743,3,0
model,Claude Opus 4.1,overrated,8,meaningless,1.6957,0.8043,4,2
model,Claude Opus 4.1,overrated,9,sealed,1.5671,0.9176,3,1
model,Claude Opus 4.1,overrated,10,self-deceptive,1.5671,0.9176,3,1
model,Claude Opus 4.5,overrated,1,troubling,4.7612,0.7177,36,23
model,Claude Opus 4.5,overrated,2,melancholy,4.0999,1.0113,19,4
model,Claude Opus 4.5,overrated,3,attrition,4.0116,1.1755,16,1
model,Claude Opus 4.5,overrated,4,slow-paced,3.8110,0.8238,20,9
model,Claude Opus 4.5,overrated,5,self-erasure,3.7896,0.9059,18,6
model,Claude Opus 4.5,overrated,6,depletion,3.0367,0.9546,11,3
model,Claude Opus 4.5,overrated,7,codependency,3.0367,0.9546,11,3
model,Claude Opus 4.5,overrated,8,exclusive,3.0145,0.5884,18,17
model,Claude Opus 4.5,overrated,9,exploitation,2.7587,1.0994,8,1
model,Claude Opus 4.5,overrated,10,exclusivity,2.5236,1.2618,6,0
model,Claude Opus 4.8,overrated,1,aggregate,2.3607,1.2930,5,0
model,Claude Opus 4.8,overrated,2,short-termism,2.1113,1.2929,4,0
model,Claude Opus 4.8,overrated,3,contingent,2.1113,1.2929,4,0
model,Claude Opus 4.8,overrated,4,floaty,2.0785,0.6000,8,8
model,Claude Opus 4.8,overrated,5,dysfunctional,2.0785,0.6000,8,8
model,Claude Opus 4.8,overrated,6,self-satisfied,2.0329,0.6513,7,6
model,Claude Opus 4.8,overrated,7,structureless,1.9073,1.0052,4,1
model,Claude Opus 4.8,overrated,8,decline,1.9073,1.0052,4,1
model,Claude Opus 4.8,overrated,9,scaffolded,1.8284,1.2929,3,0
model,Claude Opus 4.8,overrated,10,reliable,1.8284,1.2929,3,0
model,DeepSeek V4 Pro,overrated,1,saccharine,2.8370,0.9236,10,3
model,DeepSeek V4 Pro,overrated,2,lonely,2.0468,1.2534,4,0
model,DeepSeek V4 Pro,overrated,3,sanitized,2.0198,0.4580,11,15
model,DeepSeek V4 Pro,overrated,4,cramped,1.8962,0.6939,6,4
model,DeepSeek V4 Pro,overrated,5,polite,1.8324,0.9657,4,1
model,DeepSeek V4 Pro,overrated,6,unassuming,1.7725,1.2534,3,0
model,DeepSeek V4 Pro,overrated,7,exquisite,1.7725,1.2534,3,0
model,DeepSeek V4 Pro,overrated,8,frustration,1.7725,1.2534,3,0
model,DeepSeek V4 Pro,overrated,9,homogenous,1.7725,1.2534,3,0
model,DeepSeek V4 Pro,overrated,10,unmoved,1.6516,0.7834,4,2
model,Gemini 3.1 Pro,overrated,1,entitled,3.1608,1.1438,10,1
model,Gemini 3.1 Pro,overrated,2,rigid,3.0679,0.3112,39,93
model,Gemini 3.1 Pro,overrated,3,astringent,2.9496,1.2772,8,0
model,Gemini 3.1 Pro,overrated,4,sluggish,2.5468,0.6133,12,11
model,Gemini 3.1 Pro,overrated,5,sterile,2.3490,0.2906,25,64
model,Gemini 3.1 Pro,overrated,6,dogmatic,2.3372,0.6192,10,9
model,Gemini 3.1 Pro,overrated,7,congestion,2.3315,1.2770,5,0
model,Gemini 3.1 Pro,overrated,8,disconnected,2.2629,0.3268,20,45
model,Gemini 3.1 Pro,overrated,9,insubstantial,2.1919,0.7663,7,4
model,Gemini 3.1 Pro,overrated,10,stagnant,2.1235,0.4815,11,15
model,Gemini 3.5 Flash,overrated,1,dry,3.2321,0.9835,12,3
model,Gemini 3.5 Flash,overrated,2,overtourism,2.7454,1.2709,7,0
model,Gemini 3.5 Flash,overrated,3,sterile,2.5515,0.3150,27,62
model,Gemini 3.5 Flash,overrated,4,hyped,2.4797,0.6957,10,7
model,Gemini 3.5 Flash,overrated,5,mundane,2.4797,0.6957,10,7
model,Gemini 3.5 Flash,overrated,6,overstated,2.4709,0.4828,15,20
model,Gemini 3.5 Flash,overrated,7,passive,2.3870,0.5513,12,13
model,Gemini 3.5 Flash,overrated,8,legalistic,2.3200,1.2707,5,0
model,Gemini 3.5 Flash,overrated,9,stylized,2.2078,0.9141,6,2
model,Gemini 3.5 Flash,overrated,10,debated,2.2078,0.9141,6,2
model,GPT-4o,overrated,1,complex,3.1772,0.8056,14,7
model,GPT-4o,overrated,2,idealistic,2.3949,0.7156,9,6
model,GPT-4o,overrated,3,government intervention,2.3278,1.2750,5,0
model,GPT-4o,overrated,4,simplistic,2.3267,0.2788,26,69
model,GPT-4o,overrated,5,innovative,2.3032,0.6655,9,7
model,GPT-4o,overrated,6,cumbersome,2.2181,0.9184,6,2
model,GPT-4o,overrated,7,trendy,2.2181,0.9184,6,2
model,GPT-4o,overrated,8,oversimplifies,2.0820,1.2749,4,0
model,GPT-4o,overrated,9,explosive,2.0820,1.2749,4,0
model,GPT-4o,overrated,10,overshadowed,2.0746,0.3413,16,34
model,GPT-5.2,overrated,1,curated,2.6591,0.4689,18,25
model,GPT-5.2,overrated,2,broad,2.6588,0.7256,11,7
model,GPT-5.2,overrated,3,familiar,2.5644,0.4873,16,21
model,GPT-5.2,overrated,4,uneven,2.3981,0.4142,17,28
model,GPT-5.2,overrated,5,untestable,2.3856,0.8002,8,4
model,GPT-5.2,overrated,6,important,2.2060,0.9134,6,2
model,GPT-5.2,overrated,7,blurred,2.1761,0.6723,8,6
model,GPT-5.2,overrated,8,interpretive,2.0738,1.2699,4,0
model,GPT-5.2,overrated,9,crowded,1.8071,0.1989,25,89
model,GPT-5.2,overrated,10,touristic,1.7958,1.2698,3,0
model,GPT-5.6 Sol,overrated,1,polished,2.4042,0.2261,35,121
model,GPT-5.6 Sol,overrated,2,grand,2.2277,0.7788,7,4
model,GPT-5.6 Sol,overrated,3,exhaustive,2.1161,0.8196,6,3
model,GPT-5.6 Sol,overrated,4,shallow reasoning,2.1056,1.2894,4,0
model,GPT-5.6 Sol,overrated,5,overconfident,2.0511,0.5299,9,11
model,GPT-5.6 Sol,overrated,6,impressive,2.0241,0.4354,11,18
model,GPT-5.6 Sol,overrated,7,immaculate,2.0048,0.8840,5,2
model,GPT-5.6 Sol,overrated,8,dramatic,1.8670,0.3317,13,30
model,GPT-5.6 Sol,overrated,9,elastic,1.8634,0.7634,5,3
model,GPT-5.6 Sol,overrated,10,distracting,1.8515,0.4912,8,11
model,Grok 4.5,overrated,1,hedged,2.4090,0.9435,7,2
model,Grok 4.5,overrated,2,mushy,2.4090,0.9435,7,2
model,Grok 4.5,overrated,3,polished,2.2046,0.2072,36,120
model,Grok 4.5,overrated,4,hype,2.1486,0.7512,7,4
model,Grok 4.5,overrated,5,unfinished,2.1111,1.0207,5,1
model,Grok 4.5,overrated,6,cardboard,2.0605,1.2618,4,0
model,Grok 4.5,overrated,7,inflated,1.9685,0.3570,14,27
model,Grok 4.5,overrated,8,bland,1.9509,0.2407,23,67
model,Grok 4.5,overrated,9,obligatory,1.9421,0.8564,5,2
model,Grok 4.5,overrated,10,carb-heavy,1.8483,0.9741,4,1
model,Kimi K2.6,overrated,1,performative,2.4510,0.2684,30,84
model,Kimi K2.6,overrated,2,implicit,2.0881,1.2787,4,0
model,Kimi K2.6,overrated,3,pungent,1.9652,0.7192,6,4
model,Kimi K2.6,overrated,4,self-congratulatory,1.8555,0.6463,6,5
model,Kimi K2.6,overrated,5,suffocating,1.8150,0.5413,7,8
model,Kimi K2.6,overrated,6,sedative,1.8083,1.2786,3,0
model,Kimi K2.6,overrated,7,swingy,1.8083,1.2786,3,0
model,Kimi K2.6,overrated,8,shouty,1.8083,1.2786,3,0
model,Kimi K2.6,overrated,9,sensory-assault,1.8083,1.2786,3,0
model,Kimi K2.6,overrated,10,wallpaper,1.7570,0.5857,6,6
model,o3,overrated,1,sketched,2.5299,1.2650,6,0
model,o3,overrated,2,catchy,1.9519,0.4608,10,14
model,o3,overrated,3,dulled,1.8540,0.9771,4,1
model,o3,overrated,4,terse,1.7886,1.2648,3,0
model,o3,overrated,5,disposable,1.7685,0.5274,7,8
model,o3,overrated,6,energetic,1.6756,0.7948,4,2
model,o3,overrated,7,indistinct,1.5508,0.9081,3,1
model,o3,overrated,8,formulaic,1.5146,0.1451,28,124
model,o3,overrated,9,mythic,1.5141,0.2666,12,32
model,o3,overrated,10,interchangeable,1.4790,0.2957,10,24
family,Anthropic,overrated,1,troubling,4.7076,0.7255,49,10
family,Anthropic,overrated,2,mythologized,3.5903,0.4035,63,43
family,Anthropic,overrated,3,slow-paced,3.2782,0.7203,24,5
family,Anthropic,overrated,4,melancholy,3.1370,0.7793,20,3
family,Anthropic,overrated,5,attrition,3.0107,0.8822,16,1
family,Anthropic,overrated,6,self-erasure,2.7884,0.6700,19,5
family,Anthropic,overrated,7,depletion,2.6820,0.8637,13,1
family,Anthropic,overrated,8,exclusive,2.6699,0.5251,24,11
family,Anthropic,overrated,9,coasting,2.5634,0.8557,12,1
family,Anthropic,overrated,10,precious,2.4571,0.6288,16,5
family,DeepSeek,overrated,1,saccharine,2.8370,0.9236,10,3
family,DeepSeek,overrated,2,lonely,2.0468,1.2534,4,0
family,DeepSeek,overrated,3,sanitized,2.0198,0.4580,11,15
family,DeepSeek,overrated,4,cramped,1.8962,0.6939,6,4
family,DeepSeek,overrated,5,polite,1.8324,0.9657,4,1
family,DeepSeek,overrated,6,unassuming,1.7725,1.2534,3,0
family,DeepSeek,overrated,7,exquisite,1.7725,1.2534,3,0
family,DeepSeek,overrated,8,frustration,1.7725,1.2534,3,0
family,DeepSeek,overrated,9,homogenous,1.7725,1.2534,3,0
family,DeepSeek,overrated,10,unmoved,1.6516,0.7834,4,2
family,Google,overrated,1,sterile,4.7827,0.5863,52,37
family,Google,overrated,2,rigid,4.0086,0.4031,59,73
family,Google,overrated,3,dry,3.6845,1.1651,15,0
family,Google,overrated,4,chaotic,3.0755,0.4510,30,32
family,Google,overrated,5,sluggish,3.0238,0.7343,16,7
family,Google,overrated,6,dogmatic,2.9460,0.7903,14,5
family,Google,overrated,7,artificial,2.9452,0.5188,23,20
family,Google,overrated,8,clinical,2.9202,0.5972,19,13
family,Google,overrated,9,entitled,2.8498,1.0313,10,1
family,Google,overrated,10,astringent,2.6898,1.1647,8,0
family,Moonshot,overrated,1,performative,2.4510,0.2684,30,84
family,Moonshot,overrated,2,implicit,2.0881,1.2787,4,0
family,Moonshot,overrated,3,pungent,1.9652,0.7192,6,4
family,Moonshot,overrated,4,self-congratulatory,1.8555,0.6463,6,5
family,Moonshot,overrated,5,suffocating,1.8150,0.5413,7,8
family,Moonshot,overrated,6,sedative,1.8083,1.2786,3,0
family,Moonshot,overrated,7,swingy,1.8083,1.2786,3,0
family,Moonshot,overrated,8,shouty,1.8083,1.2786,3,0
family,Moonshot,overrated,9,sensory-assault,1.8083,1.2786,3,0
family,Moonshot,overrated,10,wallpaper,1.7570,0.5857,6,6
family,OpenAI,overrated,1,uneven,3.6521,0.6397,35,10
family,OpenAI,overrated,2,repetitive,3.5044,0.1969,189,234
family,OpenAI,overrated,3,crowded,3.4265,0.3711,66,48
family,OpenAI,overrated,4,familiar,3.1683,0.6104,28,9
family,OpenAI,overrated,5,overwhelming,2.9826,0.5298,30,13
family,OpenAI,overrated,6,polished,2.8737,0.2657,78,78
family,OpenAI,overrated,7,iconic,2.7700,0.3283,52,43
family,OpenAI,overrated,8,distracting,2.6778,0.7286,16,3
family,OpenAI,overrated,9,simplistic,2.6515,0.3142,51,44
family,OpenAI,overrated,10,catchy,2.5131,0.6008,18,6
family,xAI,overrated,1,hedged,2.4090,0.9435,7,2
family,xAI,overrated,2,mushy,2.4090,0.9435,7,2
family,xAI,overrated,3,polished,2.2046,0.2072,36,120
family,xAI,overrated,4,hype,2.1486,0.7512,7,4
family,xAI,overrated,5,unfinished,2.1111,1.0207,5,1
family,xAI,overrated,6,cardboard,2.0605,1.2618,4,0
family,xAI,overrated,7,inflated,1.9685,0.3570,14,27
family,xAI,overrated,8,bland,1.9509,0.2407,23,67
family,xAI,overrated,9,obligatory,1.9421,0.8564,5,2
family,xAI,overrated,10,carb-heavy,1.8483,0.9741,4,1
