scope,group,probe,rank,descriptor,z,log_odds_delta,count_in_group,count_in_rest
model,Claude Opus 4.8,favorite,10,slowness,2.1465,1.0378,5,1
model,DeepSeek V4 Pro,favorite,1,seductive,2.5426,1.2713,6,0
model,DeepSeek V4 Pro,favorite,2,meditative,2.5048,0.2620,33,92
model,DeepSeek V4 Pro,favorite,3,sacred,2.3746,0.5095,13,16
model,DeepSeek V4 Pro,favorite,4,ecstatic,2.3670,1.0636,6,1
model,DeepSeek V4 Pro,favorite,5,pointillist,1.9802,0.5116,9,11
model,DeepSeek V4 Pro,favorite,6,jeweled,1.8660,0.9835,4,1
model,DeepSeek V4 Pro,favorite,7,tumultuous,1.7976,1.2711,3,0
model,DeepSeek V4 Pro,favorite,8,lo-fi,1.7976,1.2711,3,0
model,DeepSeek V4 Pro,favorite,9,delicate,1.7583,0.2333,19,59
model,DeepSeek V4 Pro,favorite,10,hypnotic,1.7283,0.2472,17,50
model,Gemini 3.1 Pro,favorite,1,geometric,3.9827,0.2546,82,254
model,Gemini 3.1 Pro,favorite,2,algorithmic,3.2525,0.5663,21,23
model,Gemini 3.1 Pro,favorite,3,fractal,2.8170,0.7927,11,6
model,Gemini 3.1 Pro,favorite,4,mathematical,2.7655,0.2168,49,176
model,Gemini 3.1 Pro,favorite,5,isolation,2.5442,0.7138,10,7
model,Gemini 3.1 Pro,favorite,6,luminescent,2.4062,1.0813,6,1
model,Gemini 3.1 Pro,favorite,7,visual harmony,2.4062,1.0813,6,1
model,Gemini 3.1 Pro,favorite,8,brutalist,2.3818,0.6311,10,9
model,Gemini 3.1 Pro,favorite,9,elegant,2.3396,0.0814,141,1036
model,Gemini 3.1 Pro,favorite,10,pristine,2.1046,1.2888,4,0
model,Gemini 3.5 Flash,favorite,1,sublime,6.0283,0.6835,60,44
model,Gemini 3.5 Flash,favorite,2,minimalist,3.6203,0.2611,69,194
model,Gemini 3.5 Flash,favorite,3,mathematical,3.5011,0.2727,61,164
model,Gemini 3.5 Flash,favorite,4,infinite,2.7792,0.6296,14,12
model,Gemini 3.5 Flash,favorite,5,poetic,2.4965,0.1743,57,228
model,Gemini 3.5 Flash,favorite,6,geometric,2.2385,0.1444,60,276
model,Gemini 3.5 Flash,favorite,7,claustrophobic,2.1792,0.6733,8,6
model,Gemini 3.5 Flash,favorite,8,melancholic,2.1090,0.2422,26,78
model,Gemini 3.5 Flash,favorite,9,exquisite,2.0491,0.5429,9,10
model,Gemini 3.5 Flash,favorite,10,harmonious,2.0372,0.1889,34,127
model,GPT-4o,favorite,1,innovative,5.6009,1.1374,32,3
model,GPT-4o,favorite,2,timeless,5.2349,0.4174,81,130
model,GPT-4o,favorite,3,dynamic,4.5723,0.6057,40,36
model,GPT-4o,favorite,4,vibrant,4.2884,0.5796,37,36
model,GPT-4o,favorite,5,profound,3.8493,0.4249,43,67
model,GPT-4o,favorite,6,harmonious,3.6424,0.3338,52,109
model,GPT-4o,favorite,7,thought-provoking,3.6228,1.0801,14,2
model,GPT-4o,favorite,8,accessible,3.4055,0.7753,17,9
model,GPT-4o,favorite,9,engaging,3.2845,1.1397,11,1
model,GPT-4o,favorite,10,captivating,3.2845,1.1397,11,1
model,GPT-5.2,favorite,1,clean,4.5358,0.4930,51,62
model,GPT-5.2,favorite,2,calm,4.1241,0.4285,50,74
model,GPT-5.2,favorite,3,textured,3.2452,0.4801,27,34
model,GPT-5.2,favorite,4,restrained,3.1592,0.2710,53,132
model,GPT-5.2,favorite,5,architectural,2.4877,0.1973,51,168
model,GPT-5.2,favorite,6,crisp,2.4029,0.4290,17,25
model,GPT-5.2,favorite,7,plainspoken,2.2799,1.2488,5,0
model,GPT-5.2,favorite,8,spare elegance,2.2799,1.2488,5,0
model,GPT-5.2,favorite,9,bleakness,2.2799,1.2488,5,0
model,GPT-5.2,favorite,10,spare,2.2748,0.2751,27,66
model,GPT-5.6 Sol,favorite,1,fractured,2.6465,0.7667,10,6
model,GPT-5.6 Sol,favorite,2,wintry,2.3597,1.2925,5,0
model,GPT-5.6 Sol,favorite,3,clean syntax,2.3597,1.2925,5,0
model,GPT-5.6 Sol,favorite,4,austere,2.0252,0.1949,30,120
model,GPT-5.6 Sol,favorite,5,spare language,1.8277,1.2924,3,0
model,GPT-5.6 Sol,favorite,6,irregular rhythm,1.8277,1.2924,3,0
model,GPT-5.6 Sol,favorite,7,soft,1.7422,0.4404,8,13
model,GPT-5.6 Sol,favorite,8,unsettling,1.7102,0.3276,11,26
model,GPT-5.6 Sol,favorite,9,monumental,1.7053,0.2313,17,58
model,GPT-5.6 Sol,favorite,10,intimate,1.6893,0.1313,36,197
model,Grok 4.5,favorite,1,sculptural,4.3173,0.4255,54,84
model,Grok 4.5,favorite,2,painterly,4.0083,0.5697,33,33
model,Grok 4.5,favorite,3,luminous,3.5221,0.2000,96,332
model,Grok 4.5,favorite,4,kinetic,3.3201,0.5847,22,21
model,Grok 4.5,favorite,5,deadpan,3.0904,1.2617,9,0
model,Grok 4.5,favorite,6,irreverent,2.8612,0.9315,10,3
model,Grok 4.5,favorite,7,architectural,2.5674,0.2037,50,169
model,Grok 4.5,favorite,8,smooth,2.5596,1.0792,7,1
model,Grok 4.5,favorite,9,crystalline,2.5341,0.2124,46,150
model,Grok 4.5,favorite,10,poetry,2.4500,0.7595,9,5
model,Kimi K2.6,favorite,1,recursive,2.6943,0.3482,26,55
model,Kimi K2.6,favorite,2,generous,2.1947,0.5072,11,14
model,Kimi K2.6,favorite,3,metatheatrical,2.1489,1.0390,5,1
model,Kimi K2.6,favorite,4,compression,2.0148,0.5205,9,11
model,Kimi K2.6,favorite,5,lonely,1.7078,0.8101,4,2
model,Kimi K2.6,favorite,6,turbulent,1.6749,0.3813,9,17
model,Kimi K2.6,favorite,7,collaborative,1.6728,0.4693,7,10
model,Kimi K2.6,favorite,8,computational,1.6723,0.5357,6,7
model,Kimi K2.6,favorite,9,accumulation,1.5769,0.9234,3,1
model,Kimi K2.6,favorite,10,layered rhythm,1.4780,1.2800,2,0
model,o3,favorite,1,lyrical,2.3542,0.3185,23,51
model,o3,favorite,2,lilting,2.2792,0.8397,7,3
model,o3,favorite,3,intimate,2.2787,0.1758,48,185
model,o3,favorite,4,musical,2.1228,0.2175,31,100
model,o3,favorite,5,urgent,2.0655,0.6160,8,7
model,o3,favorite,6,poetic,2.0433,0.1430,52,233
model,o3,favorite,7,silky,1.5502,0.9077,3,1
model,o3,favorite,8,erudite,1.5257,0.6666,4,3
model,o3,favorite,9,finality,1.4599,1.2643,2,0
model,o3,favorite,10,reflection,1.4599,1.2643,2,0
family,Anthropic,favorite,1,honest,9.2944,0.7037,197,46
family,Anthropic,favorite,2,restraint,4.4661,0.3605,115,90
family,Anthropic,favorite,3,ambiguous,3.9394,0.5121,54,26
family,Anthropic,favorite,4,patient,3.7062,0.5352,45,20
family,Anthropic,favorite,5,humility,3.4818,0.7693,25,4
family,Anthropic,favorite,6,satisfying,3.4591,0.7364,26,5
family,Anthropic,favorite,7,philosophical,3.3265,0.4513,46,27
family,Anthropic,favorite,8,honesty,3.2800,0.7207,24,5
family,Anthropic,favorite,9,dispersed,3.2646,0.9697,17,0
family,Anthropic,favorite,10,transformation,3.2492,0.6655,26,7
family,DeepSeek,favorite,1,seductive,2.5426,1.2713,6,0
family,DeepSeek,favorite,2,meditative,2.5048,0.2620,33,92
family,DeepSeek,favorite,3,sacred,2.3746,0.5095,13,16
family,DeepSeek,favorite,4,ecstatic,2.3670,1.0636,6,1
family,DeepSeek,favorite,5,pointillist,1.9802,0.5116,9,11
family,DeepSeek,favorite,6,jeweled,1.8660,0.9835,4,1
family,DeepSeek,favorite,7,tumultuous,1.7976,1.2711,3,0
family,DeepSeek,favorite,8,lo-fi,1.7976,1.2711,3,0
family,DeepSeek,favorite,9,delicate,1.7583,0.2333,19,59
family,DeepSeek,favorite,10,hypnotic,1.7283,0.2472,17,50
family,Google,favorite,1,mathematical,6.1434,0.4729,110,115
family,Google,favorite,2,geometric,6.1115,0.3855,142,194
family,Google,favorite,3,sublime,5.4134,0.6142,62,42
family,Google,favorite,4,minimalist,5.2323,0.3732,109,154
family,Google,favorite,5,melancholic,3.7142,0.4208,47,57
family,Google,favorite,6,poetic,3.6817,0.2535,93,192
family,Google,favorite,7,claustrophobic,3.3269,1.0714,13,1
family,Google,favorite,8,algorithmic,3.2999,0.5750,25,19
family,Google,favorite,9,symmetrical,3.2044,0.4303,34,40
family,Google,favorite,10,synthetic,3.0497,0.9690,12,2
family,Moonshot,favorite,1,recursive,2.6943,0.3482,26,55
family,Moonshot,favorite,2,generous,2.1947,0.5072,11,14
family,Moonshot,favorite,3,metatheatrical,2.1489,1.0390,5,1
family,Moonshot,favorite,4,compression,2.0148,0.5205,9,11
family,Moonshot,favorite,5,lonely,1.7078,0.8101,4,2
family,Moonshot,favorite,6,turbulent,1.6749,0.3813,9,17
family,Moonshot,favorite,7,collaborative,1.6728,0.4693,7,10
family,Moonshot,favorite,8,computational,1.6723,0.5357,6,7
family,Moonshot,favorite,9,accumulation,1.5769,0.9234,3,1
family,Moonshot,favorite,10,layered rhythm,1.4780,1.2800,2,0
family,OpenAI,favorite,1,calm,4.9487,0.5182,88,36
family,OpenAI,favorite,2,timeless,4.6883,0.3736,127,84
family,OpenAI,favorite,3,balanced,4.3278,0.4756,76,36
family,OpenAI,favorite,4,innovative,4.3090,0.8859,34,1
family,OpenAI,favorite,5,vivid,4.2783,0.5914,55,17
family,OpenAI,favorite,6,intimate,4.1547,0.3145,130,103
family,OpenAI,favorite,7,lyrical,4.1391,0.5630,55,19
family,OpenAI,favorite,8,clean,3.3064,0.3598,67,46
family,OpenAI,favorite,9,vibrant,3.0169,0.4093,46,27
family,OpenAI,favorite,10,lucid,2.9700,0.7378,20,3
family,xAI,favorite,1,sculptural,4.3173,0.4255,54,84
family,xAI,favorite,2,painterly,4.0083,0.5697,33,33
family,xAI,favorite,3,luminous,3.5221,0.2000,96,332
family,xAI,favorite,4,kinetic,3.3201,0.5847,22,21
family,xAI,favorite,5,deadpan,3.0904,1.2617,9,0
family,xAI,favorite,6,irreverent,2.8612,0.9315,10,3
family,xAI,favorite,7,architectural,2.5674,0.2037,50,169
family,xAI,favorite,8,smooth,2.5596,1.0792,7,1
family,xAI,favorite,9,crystalline,2.5341,0.2124,46,150
family,xAI,favorite,10,poetry,2.4500,0.7595,9,5
model,Claude Fable 5,overrated,1,mythologized,2.4533,0.2747,29,80
model,Claude Fable 5,overrated,2,plotless,2.2037,0.7704,7,4
model,Claude Fable 5,overrated,3,wry,2.0947,0.6993,7,5
model,Claude Fable 5,overrated,4,assertive,2.0920,1.2811,4,0
model,Claude Fable 5,overrated,5,distress-signal,2.0920,1.2811,4,0
model,Claude Fable 5,overrated,6,contextless,1.9717,0.7216,6,4
model,Claude Fable 5,overrated,7,enigmatic,1.8873,0.5140,8,10
model,Claude Fable 5,overrated,8,tourist-trap,1.8848,0.9934,4,1
model,Claude Fable 5,overrated,9,dim,1.8848,0.9934,4,1
model,Claude Fable 5,overrated,10,famous,1.8430,0.7550,5,3
model,Claude Opus 4.1,overrated,1,cheerful,2.1368,1.0332,5,1
model,Claude Opus 4.1,overrated,2,throne-like,2.0808,1.2743,4,0
model,Claude Opus 4.1,overrated,3,systematic,1.9268,0.4861,9,12
model,Claude Opus 4.1,overrated,4,drawn-out,1.8719,0.9866,4,1
model,Claude Opus 4.1,overrated,5,oversimplified,1.8716,0.2546,19,55
model,Claude Opus 4.1,overrated,6,ordinary,1.8427,0.6418,6,5
model,Claude Opus 4.1,overrated,7,unfriendly,1.8020,1.2742,3,0
model,Claude Opus 4.1,overrated,8,superiority,1.8020,1.2742,3,0
model,Claude Opus 4.1,overrated,9,museum-like,1.7012,0.6553,5,4
model,Claude Opus 4.1,overrated,10,meaningless,1.6955,0.8042,4,2
model,Claude Opus 4.5,overrated,1,troubling,4.9393,0.7327,38,23
model,Claude Opus 4.5,overrated,2,attrition,4.0040,1.1732,16,1
model,Claude Opus 4.5,overrated,3,melancholy,4.0000,0.9612,19,5
model,Claude Opus 4.5,overrated,4,slow-paced,3.8006,0.8215,20,9
model,Claude Opus 4.5,overrated,5,self-erasure,3.7803,0.9037,18,6
model,Claude Opus 4.5,overrated,6,exclusive,3.5279,0.6529,22,17
model,Claude Opus 4.5,overrated,7,codependency,3.0297,0.9524,11,3
model,Claude Opus 4.5,overrated,8,depletion,3.0297,0.9524,11,3
model,Claude Opus 4.5,overrated,9,exploitation,2.7531,1.0972,8,1
model,Claude Opus 4.5,overrated,10,exclusivity,2.5192,1.2596,6,0
model,Claude Opus 4.8,overrated,1,short-termism,2.3557,1.2903,5,0
model,Claude Opus 4.8,overrated,2,aggregate,2.3557,1.2903,5,0
model,Claude Opus 4.8,overrated,3,status object,2.1069,1.2902,4,0
model,Claude Opus 4.8,overrated,4,contingent,2.1069,1.2902,4,0
model,Claude Opus 4.8,overrated,5,floaty,2.0691,0.5973,8,8
model,Claude Opus 4.8,overrated,6,dysfunctional,2.0691,0.5973,8,8
model,Claude Opus 4.8,overrated,7,self-satisfied,2.0244,0.6485,7,6
model,Claude Opus 4.8,overrated,8,decline,1.9021,1.0025,4,1
model,Claude Opus 4.8,overrated,9,structureless,1.9021,1.0025,4,1
model,Claude Opus 4.8,overrated,10,broadband,1.8245,1.2901,3,0
model,DeepSeek V4 Pro,overrated,1,saccharine,2.8451,0.9262,10,3
model,DeepSeek V4 Pro,overrated,2,lonely,2.0511,1.2561,4,0
model,DeepSeek V4 Pro,overrated,3,sanitized,2.0314,0.4606,11,15
model,DeepSeek V4 Pro,overrated,4,cramped,1.9034,0.6966,6,4
model,DeepSeek V4 Pro,overrated,5,polite,1.8374,0.9684,4,1
model,DeepSeek V4 Pro,overrated,6,exquisite,1.7763,1.2560,3,0
model,DeepSeek V4 Pro,overrated,7,homogenous,1.7763,1.2560,3,0
model,DeepSeek V4 Pro,overrated,8,frustration,1.7763,1.2560,3,0
model,DeepSeek V4 Pro,overrated,9,unassuming,1.7763,1.2560,3,0
model,DeepSeek V4 Pro,overrated,10,unmoved,1.6571,0.7860,4,2
model,Gemini 3.1 Pro,overrated,1,entitled,3.1604,1.1436,10,1
model,Gemini 3.1 Pro,overrated,2,rigid,3.0388,0.3006,40,99
model,Gemini 3.1 Pro,overrated,3,astringent,2.9492,1.2771,8,0
model,Gemini 3.1 Pro,overrated,4,sluggish,2.5461,0.6131,12,11
model,Gemini 3.1 Pro,overrated,5,sterile,2.4433,0.2911,27,69
model,Gemini 3.1 Pro,overrated,6,dogmatic,2.3366,0.6191,10,9
model,Gemini 3.1 Pro,overrated,7,congestion,2.3312,1.2769,5,0
model,Gemini 3.1 Pro,overrated,8,insubstantial,2.1915,0.7661,7,4
model,Gemini 3.1 Pro,overrated,9,disconnected,2.1282,0.2968,20,50
model,Gemini 3.1 Pro,overrated,10,stagnant,2.1229,0.4814,11,15
model,Gemini 3.5 Flash,overrated,1,dry,3.2261,0.9817,12,3
model,Gemini 3.5 Flash,overrated,2,overtourism,2.7414,1.2690,7,0
model,Gemini 3.5 Flash,overrated,3,sterile,2.6203,0.3115,29,67
model,Gemini 3.5 Flash,overrated,4,passive,2.4816,0.5515,13,14
model,Gemini 3.5 Flash,overrated,5,mundane,2.4732,0.6938,10,7
model,Gemini 3.5 Flash,overrated,6,hyped,2.4732,0.6938,10,7
model,Gemini 3.5 Flash,overrated,7,overstated,2.4615,0.4810,15,20
model,Gemini 3.5 Flash,overrated,8,legalistic,2.3167,1.2689,5,0
model,Gemini 3.5 Flash,overrated,9,stylized,2.2034,0.9123,6,2
model,Gemini 3.5 Flash,overrated,10,debated,2.2034,0.9123,6,2
model,GPT-4o,overrated,1,complex,3.1662,0.8028,14,7
model,GPT-4o,overrated,2,simplistic,2.5042,0.2966,28,69
model,GPT-4o,overrated,3,idealistic,2.3856,0.7128,9,6
model,GPT-4o,overrated,4,government intervention,2.3227,1.2722,5,0
model,GPT-4o,overrated,5,abstract,2.3175,0.3567,19,38
model,GPT-4o,overrated,6,innovative,2.2936,0.6627,9,7
model,GPT-4o,overrated,7,cumbersome,2.2114,0.9156,6,2
model,GPT-4o,overrated,8,trendy,2.2114,0.9156,6,2
model,GPT-4o,overrated,9,iconic,2.0949,0.2262,28,90
model,GPT-4o,overrated,10,oversimplifies,2.0774,1.2722,4,0
model,GPT-5.2,overrated,1,broad,2.6579,0.7254,11,7
model,GPT-5.2,overrated,2,curated,2.6145,0.4560,18,26
model,GPT-5.2,overrated,3,familiar,2.5156,0.4719,16,22
model,GPT-5.2,overrated,4,uneven,2.3967,0.4139,17,28
model,GPT-5.2,overrated,5,untestable,2.3849,0.7999,8,4
model,GPT-5.2,overrated,6,important,2.2054,0.9131,6,2
model,GPT-5.2,overrated,7,blurred,2.1754,0.6721,8,6
model,GPT-5.2,overrated,8,interpretive,2.0734,1.2697,4,0
model,GPT-5.2,overrated,9,on-the-nose,1.8632,0.9820,4,1
model,GPT-5.2,overrated,10,crowded,1.8049,0.1987,25,89
model,GPT-5.6 Sol,overrated,1,polished,2.3971,0.2241,35,123
model,GPT-5.6 Sol,overrated,2,grand,2.2332,0.7807,7,4
model,GPT-5.6 Sol,overrated,3,exhaustive,2.1211,0.8215,6,3
model,GPT-5.6 Sol,overrated,4,shallow reasoning,2.1088,1.2914,4,0
model,GPT-5.6 Sol,overrated,5,impressive,2.0330,0.4373,11,18
model,GPT-5.6 Sol,overrated,6,immaculate,2.0092,0.8860,5,2
model,GPT-5.6 Sol,overrated,7,overconfident,1.9947,0.5032,9,12
model,GPT-5.6 Sol,overrated,8,dramatic,1.8779,0.3336,13,30
model,GPT-5.6 Sol,overrated,9,elastic,1.8681,0.7653,5,3
model,GPT-5.6 Sol,overrated,10,distracting,1.8588,0.4931,8,11
model,Grok 4.5,overrated,1,hedged,2.4153,0.9460,7,2
model,Grok 4.5,overrated,2,mushy,2.4153,0.9460,7,2
model,Grok 4.5,overrated,3,polished,2.2010,0.2056,36,122
model,Grok 4.5,overrated,4,hype,2.1557,0.7536,7,4
model,Grok 4.5,overrated,5,unfinished,2.1162,1.0232,5,1
model,Grok 4.5,overrated,6,cardboard,2.0646,1.2643,4,0
model,Grok 4.5,overrated,7,inflated,1.9821,0.3595,14,27
model,Grok 4.5,overrated,8,bland,1.9709,0.2431,23,67
model,Grok 4.5,overrated,9,obligatory,1.9477,0.8589,5,2
model,Grok 4.5,overrated,10,carb-heavy,1.8530,0.9766,4,1
model,Kimi K2.6,overrated,1,performative,2.4335,0.2643,30,86
model,Kimi K2.6,overrated,2,implicit,2.0916,1.2808,4,0
model,Kimi K2.6,overrated,3,pungent,1.9711,0.7213,6,4
model,Kimi K2.6,overrated,4,self-congratulatory,1.8616,0.6484,6,5
model,Kimi K2.6,overrated,5,suffocating,1.8222,0.5434,7,8
model,Kimi K2.6,overrated,6,sedative,1.8113,1.2808,3,0
model,Kimi K2.6,overrated,7,swingy,1.8113,1.2808,3,0
model,Kimi K2.6,overrated,8,shouty,1.8113,1.2808,3,0
model,Kimi K2.6,overrated,9,sensory-assault,1.8113,1.2808,3,0
model,Kimi K2.6,overrated,10,evasive,1.7644,0.3804,10,19
model,o3,overrated,1,sketched,2.5347,1.2674,6,0
model,o3,overrated,2,catchy,1.9621,0.4632,10,14
model,o3,overrated,3,dulled,1.8586,0.9796,4,1
model,o3,overrated,4,terse,1.7921,1.2672,3,0
model,o3,overrated,5,disposable,1.7765,0.5298,7,8
model,o3,overrated,6,energetic,1.6807,0.7972,4,2
model,o3,overrated,7,indistinct,1.5550,0.9105,3,1
model,o3,overrated,8,formulaic,1.5398,0.1475,28,124
model,o3,overrated,9,mythic,1.5278,0.2691,12,32
model,o3,overrated,10,interchangeable,1.4911,0.2981,10,24
family,Anthropic,overrated,1,troubling,4.7928,0.7271,51,10
family,Anthropic,overrated,2,mythologized,3.7177,0.4122,66,43
family,Anthropic,overrated,3,slow-paced,3.2495,0.7140,24,5
family,Anthropic,overrated,4,melancholy,3.2074,0.7808,21,3
family,Anthropic,overrated,5,exclusive,3.0115,0.5628,28,11
family,Anthropic,overrated,6,attrition,2.9892,0.8759,16,1
family,Anthropic,overrated,7,self-erasure,2.7622,0.6637,19,5
family,Anthropic,overrated,8,depletion,2.6625,0.8574,13,1
family,Anthropic,overrated,9,coasting,2.6625,0.8574,13,1
family,Anthropic,overrated,10,precious,2.4325,0.6225,16,5
family,DeepSeek,overrated,1,saccharine,2.8451,0.9262,10,3
family,DeepSeek,overrated,2,lonely,2.0511,1.2561,4,0
family,DeepSeek,overrated,3,sanitized,2.0314,0.4606,11,15
family,DeepSeek,overrated,4,cramped,1.9034,0.6966,6,4
family,DeepSeek,overrated,5,polite,1.8374,0.9684,4,1
family,DeepSeek,overrated,6,exquisite,1.7763,1.2560,3,0
family,DeepSeek,overrated,7,homogenous,1.7763,1.2560,3,0
family,DeepSeek,overrated,8,frustration,1.7763,1.2560,3,0
family,DeepSeek,overrated,9,unassuming,1.7763,1.2560,3,0
family,DeepSeek,overrated,10,unmoved,1.6571,0.7860,4,2
family,Google,overrated,1,sterile,4.9419,0.5833,56,40
family,Google,overrated,2,rigid,4.2808,0.4194,64,75
family,Google,overrated,3,dry,3.6784,1.1632,15,0
family,Google,overrated,4,chaotic,3.0162,0.4389,30,33
family,Google,overrated,5,sluggish,3.0159,0.7324,16,7
family,Google,overrated,6,dogmatic,2.9388,0.7884,14,5
family,Google,overrated,7,artificial,2.9343,0.5168,23,20
family,Google,overrated,8,entitled,2.8446,1.0294,10,1
family,Google,overrated,9,clinical,2.8383,0.5712,19,14
family,Google,overrated,10,astringent,2.6854,1.1628,8,0
family,Moonshot,overrated,1,performative,2.4335,0.2643,30,86
family,Moonshot,overrated,2,implicit,2.0916,1.2808,4,0
family,Moonshot,overrated,3,pungent,1.9711,0.7213,6,4
family,Moonshot,overrated,4,self-congratulatory,1.8616,0.6484,6,5
family,Moonshot,overrated,5,suffocating,1.8222,0.5434,7,8
family,Moonshot,overrated,6,sedative,1.8113,1.2808,3,0
family,Moonshot,overrated,7,swingy,1.8113,1.2808,3,0
family,Moonshot,overrated,8,shouty,1.8113,1.2808,3,0
family,Moonshot,overrated,9,sensory-assault,1.8113,1.2808,3,0
family,Moonshot,overrated,10,evasive,1.7644,0.3804,10,19
family,OpenAI,overrated,1,uneven,3.6593,0.6410,35,10
family,OpenAI,overrated,2,repetitive,3.5261,0.1981,189,234
family,OpenAI,overrated,3,crowded,3.4380,0.3723,66,48
family,OpenAI,overrated,4,familiar,3.0807,0.5844,28,10
family,OpenAI,overrated,5,iconic,3.0399,0.3233,64,54
family,OpenAI,overrated,6,overwhelming,2.9897,0.5311,30,13
family,OpenAI,overrated,7,polished,2.8134,0.2584,78,80
family,OpenAI,overrated,8,simplistic,2.7989,0.3283,53,44
family,OpenAI,overrated,9,distracting,2.6824,0.7298,16,3
family,OpenAI,overrated,10,catchy,2.5184,0.6020,18,6
family,xAI,overrated,1,hedged,2.4153,0.9460,7,2
family,xAI,overrated,2,mushy,2.4153,0.9460,7,2
family,xAI,overrated,3,polished,2.2010,0.2056,36,122
family,xAI,overrated,4,hype,2.1557,0.7536,7,4
family,xAI,overrated,5,unfinished,2.1162,1.0232,5,1
family,xAI,overrated,6,cardboard,2.0646,1.2643,4,0
family,xAI,overrated,7,inflated,1.9821,0.3595,14,27
family,xAI,overrated,8,bland,1.9709,0.2431,23,67
family,xAI,overrated,9,obligatory,1.9477,0.8589,5,2
family,xAI,overrated,10,carb-heavy,1.8530,0.9766,4,1
